Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
06/08/2019;2,06%;1,58%;-0,12%;0,09%;1,82%
05/08/2019;-2,51%;-1,57%;-1,11%;-0,53%;3,47%
02/08/2019;0,54%;-0,12%;0,52%;0,31%;0,91%
01/08/2019;0,31%;0,78%;0,61%;-0,24%;0,89%
31/07/2019;-1,09%;0,42%;1,72%;0,35%;-0,88%
30/07/2019;-0,53%;-1,07%;1,16%;0,23%;-0,17%
29/07/2019;0,65%;0,08%;1,72%;0,40%;1,85%
26/07/2019;0,16%;0,45%;-0,66%;0,30%;-0,56%
25/07/2019;-1,41%;-0,06%;-0,02%;-0,11%;1,30%
24/07/2019;0,40%;0,18%;0,45%;0,07%;0,68%
23/07/2019;-0,24%;1,77%;-0,29%;0,19%;-1,68%
22/07/2019;0,48%;-0,09%;0,67%;-0,11%;1,13%
19/07/2019;-1,21%;0,08%;-0,07%;-0,16%;0,57%
18/07/2019;0,83%;-0,62%;0,59%;0,02%;0,28%
17/07/2019;0,08%;-0,53%;-0,02%;0,19%;2,27%
16/07/2019;-0,03%;-0,30%;-0,22%;0,13%;-0,41%
15/07/2019;-0,10%;0,58%;-0,34%;-0,16%;-1,82%
12/07/2019;-1,18%;0,19%;-0,02%;-0,05%;0,29%
11/07/2019;-0,63%;-0,56%;0,43%;-0,12%;1,16%
10/07/2019;1,23%;-1,07%;0,03%;-0,35%;1,11%
08/07/2019;0,42%;-0,57%;-0,22%;-0,13%;-1,10%
05/07/2019;0,44%;-0,24%;-0,44%;0,24%;0,52%
04/07/2019;1,56%;1,43%;-0,41%;-0,16%;-1,66%
03/07/2019;1,43%;-0,97%;-0,56%;0,31%;0,86%
02/07/2019;-0,72%;0,52%;-0,36%;0,09%;0,87%
01/07/2019;0,37%;1,60%;0,70%;0,09%;-1,91%
28/06/2019;0,24%;0,34%;-1,39%;0,64%;1,71%
27/06/2019;0,04%;0,20%;-0,23%;0,18%;-0,92%
26/06/2019;0,60%;-0,54%;0,97%;0,25%;-0,57%
25/06/2019;-1,93%;-0,42%;-0,34%;0,00%;0,40%
24/06/2019;0,05%;0,37%;-0,83%;0,21%;2,23%
21/06/2019;1,70%;-0,27%;0,52%;0,47%;2,19%
19/06/2019;0,90%;-0,05%;0,36%;0,28%;-0,42%
18/06/2019;1,82%;0,05%;0,18%;0,37%;-0,26%
17/06/2019;-0,43%;0,00%;-0,05%;0,10%;-0,29%
14/06/2019;-0,74%;0,99%;-1,21%;0,09%;2,12%
13/06/2019;0,46%;0,22%;0,30%;-0,03%;0,00%
12/06/2019;-0,65%;-0,09%;-0,74%;-0,02%;1,16%
11/06/2019;1,53%;-0,71%;0,21%;-0,19%;-1,74%
